Nome,URL da Imagem,Sede,Cor Primária,URL,Estado,Regiao
Vikings FA,https://www.salaooval.com.br/wp-content/uploads/2016/06/sp_maua_vikings.png,,#020101,https://www.salaooval.com.br/equipe/vikings-fa/,,
Prudente Coronéis,https://www.salaooval.com.br/wp-content/uploads/2016/06/sp_prudente_coroneis.png,Presidente Prudente/SP,#010101,https://www.salaooval.com.br/times/prudente-coroneis/,SP,sudeste
Corinthians Steamrollers,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_corinthians_steamrollers-1.png,São Paulo/SP,#1b1513,https://www.salaooval.com.br/times/corinthians-steamrollers/,SP,sudeste
Cronos Football,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_cronos_football.png,,#d0c3b5,https://www.salaooval.com.br/equipe/cronos-football/,,
Itajaí Dockers,https://www.salaooval.com.br/wp-content/uploads/2016/07/sc_itajai_dockers-1.png,,#484847,https://www.salaooval.com.br/equipe/itajai-dockers/,,
Almirantes FA,https://www.salaooval.com.br/wp-content/uploads/2019/11/sc_almirantes_fa.png,,#00835f,https://www.salaooval.com.br/equipe/almirantes-fa/,,
Istepôs FA,https://www.salaooval.com.br/wp-content/uploads/2018/01/sc_sao_jose_istepos_alt.png,São José/SC,#222021,https://www.salaooval.com.br/times/istepos-fa/,SC,sul
Manaus FA,https://www.salaooval.com.br/wp-content/uploads/2022/02/am_manaus_fa.png,Manaus/AM,#00963a,https://www.salaooval.com.br/times/manaus-fa/,AM,norte
Brusque Admirals,https://www.salaooval.com.br/wp-content/uploads/2017/03/sc_brusque_admirals.png,,#ecc30f,https://www.salaooval.com.br/equipe/brusque-admirals/,,
Blumenau Riesen,https://www.salaooval.com.br/wp-content/uploads/2022/09/sc_blumenau_riesen.png,,#1f1915,https://www.salaooval.com.br/equipe/blumenau-riesen/,,
Cabritos FA,https://www.salaooval.com.br/wp-content/uploads/2016/05/es_rio_branco_cabritos.png,,#030303,https://www.salaooval.com.br/equipe/cabritos-fa/,,
Brasil Devilz,https://www.salaooval.com.br/wp-content/uploads/2016/05/sp_brasil_devilz.png,,#ed920f,https://www.salaooval.com.br/equipe/brasil-devilz/,,
Paraná Clube Guardian Saints,https://www.salaooval.com.br/wp-content/uploads/2016/05/pr_parana_guardian_saints.png,Curitiba/PR,#17417d,https://www.salaooval.com.br/times/guardian-saints/,PR,sul
Unicentro Knights,https://www.salaooval.com.br/wp-content/uploads/2017/02/pr_unicentro_knights.png,,#0c1113,https://www.salaooval.com.br/equipe/unicentro-knights/,,
Tigres Futebol Americano,https://www.salaooval.com.br/wp-content/uploads/2019/08/mg_ipatinga_tigres_alt.png,,#040404,https://www.salaooval.com.br/times/tigres-futebol-americano/,,
