Data,Mandante,Hor/Res,Visitante,Fase,Torneio,Campo,Pontos Mandante,Pontos Visitante,Vencedor,Defensor do Título
2022-06-26 13:30:00,Vasco Almirantes,16 - 09,Palmeiras Locomotives,,BFA 2022,C. E. Miécimo da Silva - Rio de Janeiro/RJ,16,9,Vasco Almirantes,Palmeiras Locomotives
2022-07-17 14:00:00,Macaé Oilers,06 - 20,Vasco Almirantes,,BFA 2022,Macaé/RJ,6,20,Vasco Almirantes,Vasco Almirantes
2022-08-06 10:00:00,Galo FA,48 - 34,Vasco Almirantes,,BFA 2022,CTE/UFMG - Belo Horizonte/MG,48,34,Galo FA,Vasco Almirantes
2022-08-14 10:00:00,Galo FA,50 - 00,Corinthians Steamrollers,,Brasileirao 2022,CTE/UFMG - Belo Horizonte/MG,50,0,Galo FA,Galo FA
2022-09-03 18:00:00,Sorriso Hornets,00 - 53,Galo FA,,BFA 2022,Toca do Lobo - Sorriso/MT,0,53,Galo FA,Galo FA
2022-09-11 11:00:00,Galo FA,42 - 08,Flamengo Imperadores,,Brasileirao 2022,CTE/UFMG - Belo Horizonte/MG,42,8,Galo FA,Galo FA
2022-09-18 16:00:29,Galo FA,60 - 00,Locomotiva FA,Semifinal SE,BFA 2022,,60,0,Galo FA,Galo FA
2022-09-24 17:00:00,Galo FA,50 - 00,Tritões FA,,Brasileirao 2022,CTE/UFMG - Belo Horizonte/MG,50,0,Galo FA,Galo FA
2022-10-15 18:00:54,Galo FA,35 - 06,Vasco Almirantes,Final SE,BFA 2022,,35,6,Galo FA,Galo FA
2022-11-02 18:00:20,Galo FA,18 - 11,João Pessoa Espectros,,BFA 2022,,18,11,Galo FA,Galo FA
2022-11-05 17:00:58,Galo FA,29 - 14,Flamengo Imperadores,Quartas de Final,Brasileirao 2022,,29,14,Galo FA,Galo FA
2022-11-12 17:00:50,Galo FA,20 - 00,Rio Preto Weilers,,Brasileirao 2022,,20,0,Galo FA,Galo FA
2022-11-19 15:00:47,Timbó Rex,30 - 20,Galo FA,,BFA 2022,,30,20,Timbó Rex,Galo FA
2023-07-08 17:00:00,Timbó Rex,35 - 00,União da Serra/Juventude FA,,BFA 2023,Complexo Esportivo - Timbó/SC,35,0,Timbó Rex,Timbó Rex
2023-07-29 14:00:00,Santa Maria Soldiers,08 - 26,Timbó Rex,,BFA 2023,Estádio dos Eucaliptos - Santa Maria/RS,8,26,Timbó Rex,Timbó Rex
2023-08-19 15:00:00,Almirantes FA,12 - 17,Timbó Rex,,BFA 2023,Estádio Camilo Mussi - Itajaí/SC,12,17,Timbó Rex,Timbó Rex
2023-10-14 15:00:00,Timbó Rex,10 - 00,Istepôs FA,,BFA 2023,Complexo Esportivo - Timbó/SC,10,0,Timbó Rex,Timbó Rex
2023-10-28 17:00:06,Timbó Rex,17 - 00,União da Serra/Juventude FA,-,BFA 2023,,17,0,Timbó Rex,Timbó Rex
2023-11-11 20:00:10,Timbó Rex,12 - 15,Almirantes FA,-,BFA 2023,,12,15,Almirantes FA,Timbó Rex
2023-11-25 15:00:11,Recife Mariners,06 - 25,Almirantes FA,,BFA 2023,,6,25,Almirantes FA,Almirantes FA
2023-12-16 15:00:34,Almirantes FA,14 - 21,Galo FA,,BFA 2023,,14,21,Galo FA,Almirantes FA
2024-06-02 10:00:00,Galo FA,28 - 07,Uberlândia Lobos,,Campeonato Mineiro 2024,,28,7,Galo FA,Galo FA
2024-06-22 14:00:00,Galo FA,41 - 03,Nova Serrana Forgeds,,Campeonato Mineiro 2024,,41,3,Galo FA,Galo FA
2024-07-06 14:00:00,Locomotiva FA,12 - 19,Galo FA,,Campeonato Mineiro 2024,,12,19,Galo FA,Galo FA
2024-08-03 16:00:00,Galo FA,20 - 13,Vasco Almirantes,,BFA 2024,CTE/UFMG - Belo Horizonte/MG,20,13,Galo FA,Galo FA
2024-08-24 14:00:00,Manaus FA,00 - 23,Galo FA,,BFA 2024,Estádio Ismael Benigno - Manaus/AM,0,23,Galo FA,Galo FA
2024-09-01 14:00:00,Locomotiva FA,00 - 33,Galo FA,,BFA 2024,Faculdade Universo - Belo Horizonte/MG,0,33,Galo FA,Galo FA
2024-09-21 19:00:00,Galo FA,36 - 02,Tubarões do Cerrado,,BFA 2024,CTE/UFMG - Belo Horizonte/MG,36,2,Galo FA,Galo FA
2024-10-20 15:00:32,Galo FA,07 - 00,Vasco Almirantes,-,BFA 2024,,7,0,Galo FA,Galo FA
2024-11-09 14:00:30,Rondonópolis Hawks,03 - 16,Galo FA,,BFA 2024,,3,16,Galo FA,Galo FA
2024-12-01 15:00:49,Recife Mariners,22 - 06,Galo FA,,BFA 2024,,22,6,Recife Mariners,Galo FA
2025-04-27 15:00:00,Caruaru Wolves,15 - 06,Recife Mariners,,Campeonato Pernambucano 2025,Estádio da Vera Cruz - Caruaru/PE,15,6,Caruaru Wolves,Recife Mariners
2025-06-08 14:00:43,Recife Mariners,21 - 20,Caruaru Wolves,,Campeonato Pernambucano 2025,,21,20,Recife Mariners,Caruaru Wolves
2025-07-05 15:00:00,Recife Mariners,35 - 14,Caruaru Wolves,,Superliga 2025,,35,14,Recife Mariners,Recife Mariners
2025-08-03 14:00:00,Recife Mariners,14 - 00,Fortaleza Tritões,,Superliga 2025,,14,0,Recife Mariners,Recife Mariners
2025-08-24 10:00:00,Cavalaria 2 de Julho,26 - 27,Recife Mariners,,Superliga 2025,,26,27,Recife Mariners,Recife Mariners
2025-10-19 15:00:37,Recife Mariners,28 - 00,Caruaru Wolves,Semi NE,Superliga 2025,,28,0,Recife Mariners,Recife Mariners
2025-11-02 15:00:54,Recife Mariners,17 - 14,Fortaleza Tritões,Semi NE,Superliga 2025,,17,14,Recife Mariners,Recife Mariners
2025-11-16 10:00:45,Recife Mariners,35 - 33,Rondonópolis Hawks,Semi NE,Superliga 2025,,35,33,Recife Mariners,Recife Mariners
2025-12-06 17:00:25,Coritiba Crocodiles,28 - 22,Recife Mariners,Brasil Bowl,Superliga 2025,,28,22,Coritiba Crocodiles,Recife Mariners
2026-03-07 14:00:00,Coritiba Crocodiles,39 - 00,Calvary Cavaliers,,Campeonato Paranaense 2026,Croco Stadium - Curitiba/PR,39,0,Coritiba Crocodiles,Coritiba Crocodiles
2026-03-22 14:00:00,Coritiba Crocodiles,31 - 00,Ponta Grossa Phantoms,,Campeonato Paranaense 2026,,31,0,Coritiba Crocodiles,Coritiba Crocodiles
2026-04-11 14:00:00,Cascavel Olympians,00 - 44,Coritiba Crocodiles,,Campeonato Paranaense 2026,,0,44,Coritiba Crocodiles,Coritiba Crocodiles
2026-04-26 14:00:00,Calvary Cavaliers,00 - 44,Coritiba Crocodiles,,Campeonato Paranaense 2026,,0,44,Coritiba Crocodiles,Coritiba Crocodiles
2026-06-13 14:00:45,Coritiba Crocodiles,34 - 17,Londrina Bristlebacks,,Campeonato Paranaense 2026,,34,17,Coritiba Crocodiles,Coritiba Crocodiles
2026-06-28 14:30:06,Coritiba Crocodiles,19 - 16,Brown Spiders,,Campeonato Paranaense 2026,,19,16,Coritiba Crocodiles,Coritiba Crocodiles
2026-07-18 14:00:00,Coritiba Crocodiles,28 - 00,Istepôs FA,,Superliga 2026,,28,0,Coritiba Crocodiles,Coritiba Crocodiles
