Data,Mandante,Hor/Res,Visitante,Campo,Torneio,Fase,Pontos Mandante,Pontos Visitante,Vencedor,Defensor do Título
2017-04-15 14:30:16,Timbó Rex,38 - 08,Black Hawks,Complexo Esportivo - Timbó/SC,Campeonato Catarinense 2017,,38,8,Timbó Rex,Timbó Rex
2017-04-29 14:30:16,Miners FA,00 - 41,Timbó Rex,Estádio Valmor Mário Guollo - Cocal do Sul/SC,Campeonato Catarinense 2017,,0,41,Timbó Rex,Timbó Rex
2017-06-11 14:30:16,Timbó Rex,10 - 07,Jaraguá Breakers,,Campeonato Catarinense 2017,,10,7,Timbó Rex,Timbó Rex
2017-06-25 14:30:16,Timbó Rex,28 - 07,Istepôs FA,,Campeonato Catarinense 2017,,28,7,Timbó Rex,Timbó Rex
2017-07-23 14:00:00,Timbó Rex,34 - 07,Paraná HP,Complexo Esportivo - Timbó/SC,BFA 2017,,34,7,Timbó Rex,Timbó Rex
2017-08-05 14:30:00,Timbó Rex,27 - 00,Juventude FA,Complexo Esportivo - Timbó/SC,BFA 2017,,27,0,Timbó Rex,Timbó Rex
2017-08-20 14:30:00,Brown Spiders,03 - 30,Timbó Rex,Croco Stadium - Curitiba/PR,BFA 2017,,3,30,Timbó Rex,Timbó Rex
2017-09-02 14:00:00,Santa Maria Soldiers,13 - 14,Timbó Rex,Estádio Presidente Vargas - Santa Maria/RS,BFA 2017,,13,14,Timbó Rex,Timbó Rex
2017-09-17 14:30:00,Timbó Rex,42 - 00,Istepôs FA,Complexo Esportivo - Timbó/SC,BFA 2017,,42,0,Timbó Rex,Timbó Rex
2017-10-01 14:00:00,Coritiba Crocodiles,12 - 22,Timbó Rex,Croco Stadium - Curitiba/PR,BFA 2017,,12,22,Timbó Rex,Timbó Rex
2017-10-15 14:30:06,Timbó Rex,07 - 10,Coritiba Crocodiles,,BFA 2017,,7,10,Coritiba Crocodiles,Timbó Rex
2017-10-28 15:00:06,Santa Maria Soldiers,06 - 35,Coritiba Crocodiles,,BFA 2017,,6,35,Coritiba Crocodiles,Coritiba Crocodiles
2017-11-18 16:00:06,Coritiba Crocodiles,10 - 17,Sada Cruzeiro/Galo FA,,BFA 2017,,10,17,Sada Cruzeiro/Galo FA,Coritiba Crocodiles
2017-12-10 17:00:42,Sada Cruzeiro/Galo FA,30 - 13,João Pessoa Espectros,,BFA 2017,,30,13,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-03-17 17:00:00,Sada Cruzeiro/Galo FA,82 - 07,Nova Serrana Forgeds,SESC Venda Nova - Belo Horizonte/MG,Campeonato Mineiro 2018,,82,7,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-04-07 17:00:00,Piratas da Serra,00 - 74,Sada Cruzeiro/Galo FA,SESC Venda Nova - Belo Horizonte/MG,Campeonato Mineiro 2018,,0,74,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-06-16 14:00:13,Sada Cruzeiro/Galo FA,58 - 06,Contagem Inconfidentes,,Campeonato Mineiro 2018,,58,6,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-06-23 16:00:13,Sada Cruzeiro/Galo FA,50 - 14,América Locomotiva,,Campeonato Mineiro 2018,,50,14,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-07-21 14:00:00,Tritões FA,14 - 34,Sada Cruzeiro/Galo FA,Toca do Índio - Vila Velha/ES,BFA 2018,,14,34,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-08-11 00:00:00,Juiz de Fora Imperadores,00 - 49,Sada Cruzeiro/Galo FA,W.O.,BFA 2018,,0,49,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-08-25 17:00:00,Sada Cruzeiro/Galo FA,63 - 02,América Locomotiva,SESC Venda Nova - Belo Horizonte/MG,BFA 2018,,63,2,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-09-15 17:00:00,Sada Cruzeiro/Galo FA,65 - 00,São Paulo Storm,SESC Venda Nova - Belo Horizonte/MG,BFA 2018,,65,0,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-09-23 14:00:00,Sada Cruzeiro/Galo FA,13 - 06,Matias Barbosa Primatas,Campo do Botafogo - Matozinhos/MG,Copa Ouro 2017,,13,6,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-09-30 10:00:00,Guarulhos Rhynos,20 - 44,Sada Cruzeiro/Galo FA,Estádio do Canindé - São Paulo/SP,BFA 2018,,20,44,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-10-14 14:00:00,Contagem Inconfidentes,06 - 07,Sada Cruzeiro/Galo FA,Matias Barbosa/MG,Copa Ouro 2017,,6,7,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-10-20 15:00:00,Sada Cruzeiro/Galo FA,59 - 00,Vasco Almirantes,SESC Venda Nova - Belo Horizonte/MG,BFA 2018,,59,0,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-11-03 15:00:00,Sada Cruzeiro/Galo FA,53 - 00,Botafogo Reptiles,,BFA 2018,,53,0,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-11-17 18:00:00,Sada Cruzeiro/Galo FA,47 - 14,Vila Velha Tritões,,BFA 2018,,47,14,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-12-01 18:00:00,Sada Cruzeiro/Galo FA,14 - 10,Timbó Rex,,BFA 2018,,14,10,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2018-12-09 15:00:00,Sada Cruzeiro/Galo FA,14 - 16,América Locomotiva,Faculdade Universo - Belo Horizonte/MG,Copa Ouro 2018,,14,16,América Locomotiva,Sada Cruzeiro/Galo FA
2019-01-13 13:00:00,Contagem Inconfidentes,22 - 15,América Locomotiva,Arena Frigoarnaldo - Contagem/MG,Copa Ouro 2017,,22,15,Contagem Inconfidentes,América Locomotiva
2019-07-28 15:00:00,Contagem Inconfidentes,48 - 28,Nova Serrana Forgeds,Arena Frigoarnaldo - Contagem/MG,BFA Acesso 2019,,48,28,Contagem Inconfidentes,Contagem Inconfidentes
2019-08-17 14:00:00,Tigres FA,13 - 47,Contagem Inconfidentes,Ipatingão - Ipatinga/MG,BFA Acesso 2019,,13,47,Contagem Inconfidentes,Contagem Inconfidentes
2019-09-01 15:00:00,Contagem Inconfidentes,41 - 33,Blaze FA,Contagem/MG,BFA Acesso 2019,,41,33,Contagem Inconfidentes,Contagem Inconfidentes
2019-09-28 14:00:00,Palmeiras Locomotives,17 - 12,Contagem Inconfidentes,CT Touchdown - São Paulo/SP,BFA Acesso 2019,,17,12,Palmeiras Locomotives,Contagem Inconfidentes
2022-06-26 13:30:00,Vasco Almirantes,16 - 09,Palmeiras Locomotives,C. E. Miécimo da Silva - Rio de Janeiro/RJ,BFA 2022,,16,9,Vasco Almirantes,Palmeiras Locomotives
2022-07-17 14:00:00,Macaé Oilers,06 - 20,Vasco Almirantes,Macaé/RJ,BFA 2022,,6,20,Vasco Almirantes,Vasco Almirantes
2022-08-06 10:00:00,Sada Cruzeiro/Galo FA,48 - 34,Vasco Almirantes,CTE/UFMG - Belo Horizonte/MG,BFA 2022,,48,34,Sada Cruzeiro/Galo FA,Vasco Almirantes
2022-08-14 10:00:00,Sada Cruzeiro/Galo FA,50 - 00,Corinthians Steamrollers,CTE/UFMG - Belo Horizonte/MG,Brasileirao 2022,,50,0,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-09-03 18:00:00,Sorriso Hornets,00 - 53,Sada Cruzeiro/Galo FA,Toca do Lobo - Sorriso/MT,BFA 2022,,0,53,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-09-11 11:00:00,Sada Cruzeiro/Galo FA,42 - 08,Flamengo Imperadores,CTE/UFMG - Belo Horizonte/MG,Brasileirao 2022,,42,8,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-09-18 16:00:29,Sada Cruzeiro/Galo FA,60 - 00,América Locomotiva,,BFA 2022,Semifinal SE,60,0,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-09-24 17:00:00,Sada Cruzeiro/Galo FA,50 - 00,Tritões FA,CTE/UFMG - Belo Horizonte/MG,Brasileirao 2022,,50,0,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-10-15 18:00:54,Sada Cruzeiro/Galo FA,35 - 06,Vasco Almirantes,,BFA 2022,Final SE,35,6,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-11-02 18:00:20,Sada Cruzeiro/Galo FA,18 - 11,João Pessoa Espectros,,BFA 2022,,18,11,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-11-05 17:00:58,Sada Cruzeiro/Galo FA,29 - 14,Flamengo Imperadores,,Brasileirao 2022,Quartas de Final,29,14,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-11-12 17:00:50,Sada Cruzeiro/Galo FA,20 - 00,Rio Preto Weilers,,Brasileirao 2022,,20,0,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2022-11-19 15:00:47,Timbó Rex,30 - 20,Sada Cruzeiro/Galo FA,,BFA 2022,,30,20,Timbó Rex,Sada Cruzeiro/Galo FA
2023-07-08 17:00:00,Timbó Rex,35 - 00,Juventude FA,Complexo Esportivo - Timbó/SC,BFA 2023,,35,0,Timbó Rex,Timbó Rex
2023-07-29 14:00:00,Santa Maria Soldiers,08 - 26,Timbó Rex,Estádio dos Eucaliptos - Santa Maria/RS,BFA 2023,,8,26,Timbó Rex,Timbó Rex
2023-08-19 15:00:00,Almirantes FA,12 - 17,Timbó Rex,Estádio Camilo Mussi - Itajaí/SC,BFA 2023,,12,17,Timbó Rex,Timbó Rex
2023-10-14 15:00:00,Timbó Rex,10 - 00,Istepôs FA,Complexo Esportivo - Timbó/SC,BFA 2023,,10,0,Timbó Rex,Timbó Rex
2023-10-28 17:00:06,Timbó Rex,17 - 00,Juventude FA,,BFA 2023,-,17,0,Timbó Rex,Timbó Rex
2023-11-11 20:00:10,Timbó Rex,12 - 15,Almirantes FA,,BFA 2023,-,12,15,Almirantes FA,Timbó Rex
2023-11-25 15:00:11,Recife Mariners,06 - 25,Almirantes FA,,BFA 2023,,6,25,Almirantes FA,Almirantes FA
2023-12-16 15:00:34,Almirantes FA,14 - 21,Sada Cruzeiro/Galo FA,,BFA 2023,,14,21,Sada Cruzeiro/Galo FA,Almirantes FA
2024-06-02 10:00:00,Sada Cruzeiro/Galo FA,28 - 07,Uberlândia Lobos,,Campeonato Mineiro 2024,,28,7,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-06-22 14:00:00,Sada Cruzeiro/Galo FA,41 - 03,Nova Serrana Forgeds,,Campeonato Mineiro 2024,,41,3,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-07-06 14:00:00,América Locomotiva,12 - 19,Sada Cruzeiro/Galo FA,,Campeonato Mineiro 2024,,12,19,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-08-03 16:00:00,Sada Cruzeiro/Galo FA,20 - 13,Vasco Almirantes,CTE/UFMG - Belo Horizonte/MG,BFA 2024,,20,13,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-08-24 14:00:00,Manaus FA,00 - 23,Sada Cruzeiro/Galo FA,Estádio Ismael Benigno - Manaus/AM,BFA 2024,,0,23,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-09-01 14:00:00,América Locomotiva,00 - 33,Sada Cruzeiro/Galo FA,Faculdade Universo - Belo Horizonte/MG,BFA 2024,,0,33,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-09-21 19:00:00,Sada Cruzeiro/Galo FA,36 - 02,Tubarões do Cerrado,CTE/UFMG - Belo Horizonte/MG,BFA 2024,,36,2,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-10-20 15:00:32,Sada Cruzeiro/Galo FA,07 - 00,Vasco Almirantes,,BFA 2024,-,7,0,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-11-09 14:00:30,Rondonópolis Hawks,03 - 16,Sada Cruzeiro/Galo FA,,BFA 2024,,3,16,Sada Cruzeiro/Galo FA,Sada Cruzeiro/Galo FA
2024-12-01 15:00:49,Recife Mariners,22 - 06,Sada Cruzeiro/Galo FA,,BFA 2024,,22,6,Recife Mariners,Sada Cruzeiro/Galo FA
